;I;Q;I_hex;Q_hex
0;-0.003537416458129883;0.0018465518951416016;00ff182b;00007904
1;-0.0035308003425598145;0.0018489360809326172;00ff189a;0000792c
2;-0.0035442709922790527;0.001841127872467041;00ff17b8;000078a9
3;-0.003543078899383545;0.0018465518951416016;00ff17cc;00007904
4;-0.0035359859466552734;0.0018472671508789062;00ff1843;00007910
5;-0.003543078899383545;0.0018581748008728027;00ff17cc;000079c7
6;-0.003552079200744629;0.0018506050109863281;00ff1735;00007948
7;-0.0035333633422851562;0.0018436908721923828;00ff186f;000078d4
8;-0.003537416458129883;0.0018522143363952637;00ff182b;00007963
9;-0.0035406947135925293;0.0018408894538879395;00ff17f4;000078a5
10;-0.0035321712493896484;0.0018423199653625488;00ff1883;000078bd
11;-0.0035347938537597656;0.0018475055694580078;00ff1857;00007914
12;-0.003536701202392578;0.00185316801071167;00ff1837;00007973
13;-0.0035404562950134277;0.0018463134765625;00ff17f8;00007900
14;-0.0035274624824523926;0.0018467903137207031;00ff18d2;00007908
15;-0.003531932830810547;0.0018545985221862793;00ff1887;0000798b
16;-0.003538846969604492;0.00185316801071167;00ff1813;00007973
17;-0.0035411715507507324;0.0018482208251953125;00ff17ec;00007920
18;-0.0035437941551208496;0.0018590688705444336;00ff17c0;000079d6
19;-0.0035386085510253906;0.001856982707977295;00ff1817;000079b3
20;-0.0035312771797180176;0.0018436908721923828;00ff1892;000078d4
21;-0.003532886505126953;0.0018472671508789062;00ff1877;00007910
22;-0.003531038761138916;0.001843273639678955;00ff1896;000078cd
23;-0.003535747528076172;0.0018406510353088379;00ff1847;000078a1
24;-0.0035421252250671387;0.0018416047096252441;00ff17dc;000078b1
25;-0.0035468339920043945;0.0018377900123596191;00ff178d;00007871
26;-0.003540933132171631;0.00183945894241333;00ff17f0;0000788d
27;-0.003544032573699951;0.0018309354782104492;00ff17bc;000077fe
28;-0.0035468339920043945;0.0018250346183776855;00ff178d;0000779b
29;-0.0035518407821655273;0.0018347501754760742;00ff1739;0000783e
30;-0.003545701503753662;0.0018326044082641602;00ff17a0;0000781a
31;-0.003539741039276123;0.0018290281295776367;00ff1804;000077de
32;-0.0035433173179626465;0.001830458641052246;00ff17c8;000077f6
33;-0.0035535097122192383;0.0018224120140075684;00ff171d;0000776f
34;-0.003545701503753662;0.0018267035484313965;00ff17a0;000077b7
35;-0.003545224666595459;0.0018290281295776367;00ff17a8;000077de
36;-0.0035428404808044434;0.0018167495727539062;00ff17d0;00007710
37;-0.003544747829437256;0.0018224120140075684;00ff17b0;0000776f
38;-0.0035496950149536133;0.0018191337585449219;00ff175d;00007738
39;-0.0035468339920043945;0.0018214583396911621;00ff178d;0000775f
40;-0.003546595573425293;0.001812279224395752;00ff1791;000076c5
41;-0.003550887107849121;0.0018030405044555664;00ff1749;0000762a
42;-0.0035596489906311035;0.0018115639686584473;00ff16b6;000076b9
43;-0.0035381317138671875;0.0018193721771240234;00ff181f;0000773c
44;-0.0035584568977355957;0.0018108487129211426;00ff16ca;000076ad
45;-0.003559410572052002;0.0018030405044555664;00ff16ba;0000762a
46;-0.0035516023635864258;0.0018143653869628906;00ff173d;000076e8
47;-0.003549933433532715;0.0018103718757629395;00ff1759;000076a5
48;-0.003557741641998291;0.001801609992980957;00ff16d6;00007612
49;-0.003557741641998291;0.0018118023872375488;00ff16d6;000076bd
50;-0.0035546422004699707;0.001819610595703125;00ff170a;00007740
51;-0.003548264503479004;0.001799941062927246;00ff1775;000075f6
52;-0.0035601258277893066;0.0018070340156555176;00ff16ae;0000766d
53;-0.0035511255264282227;0.0018276572227478027;00ff1745;000077c7
54;-0.003550887107849121;0.0018193721771240234;00ff1749;0000773c
55;-0.003548741340637207;0.0018160343170166016;00ff176d;00007704
56;-0.003548264503479004;0.0018143653869628906;00ff1775;000076e8
57;-0.0035539865493774414;0.0018311738967895508;00ff1715;00007802
58;-0.003557264804840088;0.0018271803855895996;00ff16de;000077bf
59;-0.0035459399223327637;0.0018167495727539062;00ff179c;00007710
60;-0.0035459399223327637;0.0018165111541748047;00ff179c;0000770c
61;-0.0035445094108581543;0.0018302202224731445;00ff17b4;000077f2
62;-0.0035548806190490723;0.0018125176429748535;00ff1706;000076c9
63;-0.003557264804840088;0.0017989873886108398;00ff16de;000075e6
64;-0.003557741641998291;0.0018153190612792969;00ff16d6;000076f8
65;-0.003561735153198242;0.0018108487129211426;00ff1693;000076ad
66;-0.0035567879676818848;0.0018129944801330566;00ff16e6;000076d1
67;-0.003558218479156494;0.0018013715744018555;00ff16ce;0000760e
68;-0.0035657882690429688;0.0017930865287780762;00ff164f;00007583
69;-0.003561735153198242;0.0017949938774108887;00ff1693;000075a3
70;-0.003557264804840088;0.0018004179000854492;00ff16de;000075fe
71;-0.003566265106201172;0.0018008947372436523;00ff1647;00007606
72;-0.0035586953163146973;0.0018035173416137695;00ff16c6;00007632
73;-0.003559887409210205;0.001805424690246582;00ff16b2;00007652
74;-0.003557264804840088;0.0017945170402526855;00ff16de;0000759b
75;-0.0035546422004699707;0.0017933249473571777;00ff170a;00007587
76;-0.0035553574562072754;0.0018001794815063477;00ff16fe;000075fa
77;-0.003565073013305664;0.0017909407615661621;00ff165b;0000755f
78;-0.0035596489906311035;0.0018035173416137695;00ff16b6;00007632
79;-0.0035553574562072754;0.0017914175987243652;00ff16fe;00007567
80;-0.003572404384613037;0.001772761344909668;00ff15e0;0000742e
81;-0.003566265106201172;0.0017781853675842285;00ff1647;00007489
82;-0.0035631656646728516;0.0017895698547363281;00ff167b;00007548
